Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Hit
GO:0060192~negative regulation of lipase activity	GOTERM_BP_DIRECT	2	2.564102564	0.016270996	"ENSMUSG00000005681, ENSMUSG00000032083"	75	4	18082	120.5466667	0.999964166	0.118059322	10.59506734	Low
GO:0051345~positive regulation of hydrolase activity	GOTERM_BP_DIRECT	2	2.564102564	0.016270996	"ENSMUSG00000054422, ENSMUSG00000032083"	75	4	18082	120.5466667	0.999964166	0.118059322	10.59506734	Low
GO:0018206~peptidyl-methionine modification	GOTERM_BP_DIRECT	2	2.564102564	0.016270996	"ENSMUSG00000005681, ENSMUSG00000032083"	75	4	18082	120.5466667	0.999964166	0.118059322	10.59506734	Low
GO:0014823~response to activity	GOTERM_BP_DIRECT	3	3.846153846	0.017163218	"ENSMUSG00000002250, ENSMUSG00000022878, ENSMUSG00000027513"	75	49	18082	14.76081633	0.999979658	0.123101699	11.04758834	Low
GO:0001890~placenta development	GOTERM_BP_DIRECT	3	3.846153846	0.017831549	"ENSMUSG00000002250, ENSMUSG00000015846, ENSMUSG00000000440"	75	50	18082	14.4656	0.999986694	0.126441893	11.34734941	Low
GO:0010891~negative regulation of sequestering of triglyceride	GOTERM_BP_DIRECT	2	2.564102564	0.020297766	"ENSMUSG00000022383, ENSMUSG00000000440"	75	5	18082	96.43733333	0.999997228	0.137671805	12.35516201	Low
GO:0032489~regulation of Cdc42 protein signal transduction	GOTERM_BP_DIRECT	2	2.564102564	0.020297766	"ENSMUSG00000032083, ENSMUSG00000032081"	75	5	18082	96.43733333	0.999997228	0.137671805	12.35516201	Low
GO:0019563~glycerol catabolic process	GOTERM_BP_DIRECT	2	2.564102564	0.020297766	"ENSMUSG00000050553, ENSMUSG00000025059"	75	5	18082	96.43733333	0.999997228	0.137671805	12.35516201	Low
GO:0002740~negative regulation of cytokine secretion involved in immune response	GOTERM_BP_DIRECT	2	2.564102564	0.020297766	"ENSMUSG00000005681, ENSMUSG00000032083"	75	5	18082	96.43733333	0.999997228	0.137671805	12.35516201	Low
GO:0031100~organ regeneration	GOTERM_BP_DIRECT	3	3.846153846	0.022067373	"ENSMUSG00000005681, ENSMUSG00000032083, ENSMUSG00000000440"	75	56	18082	12.91571429	0.999999103	0.147416623	13.22969695	Low
GO:0007507~heart development	GOTERM_BP_DIRECT	5	6.41025641	0.022206991	"ENSMUSG00000002250, ENSMUSG00000015846, ENSMUSG00000062908, ENSMUSG00000022383, ENSMUSG00000000440"	75	261	18082	4.618646232	0.999999179	0.147416623	13.22969695	Low
GO:0070508~cholesterol import	GOTERM_BP_DIRECT	2	2.564102564	0.024308275	"ENSMUSG00000002944, ENSMUSG00000032083"	75	6	18082	80.36444444	0.999999786	0.151795089	13.62263624	Low
GO:0051005~negative regulation of lipoprotein lipase activity	GOTERM_BP_DIRECT	2	2.564102564	0.024308275	"ENSMUSG00000032081, ENSMUSG00000002289"	75	6	18082	80.36444444	0.999999786	0.151795089	13.62263624	Low
GO:0006642~triglyceride mobilization	GOTERM_BP_DIRECT	2	2.564102564	0.024308275	"ENSMUSG00000030382, ENSMUSG00000032081"	75	6	18082	80.36444444	0.999999786	0.151795089	13.62263624	Low
GO:0055012~ventricular cardiac muscle cell differentiation	GOTERM_BP_DIRECT	2	2.564102564	0.024308275	"ENSMUSG00000015846, ENSMUSG00000039656"	75	6	18082	80.36444444	0.999999786	0.151795089	13.62263624	Low
GO:0050996~positive regulation of lipid catabolic process	GOTERM_BP_DIRECT	2	2.564102564	0.024308275	"ENSMUSG00000032079, ENSMUSG00000005681"	75	6	18082	80.36444444	0.999999786	0.151795089	13.62263624	Low
GO:0008654~phospholipid biosynthetic process	GOTERM_BP_DIRECT	3	3.846153846	0.024326136	"ENSMUSG00000002250, ENSMUSG00000024981, ENSMUSG00000020333"	75	59	18082	12.25898305	0.999999788	0.151795089	13.62263624	Low
GO:0009612~response to mechanical stimulus	GOTERM_BP_DIRECT	3	3.846153846	0.027478176	"ENSMUSG00000043089, ENSMUSG00000002944, ENSMUSG00000000440"	75	63	18082	11.48063492	0.999999972	0.168198232	15.0947131	Low
GO:0035357~peroxisome proliferator activated receptor signaling pathway	GOTERM_BP_DIRECT	2	2.564102564	0.028302587	"ENSMUSG00000015846, ENSMUSG00000000440"	75	7	18082	68.88380952	0.999999983	0.168198232	15.0947131	Low
GO:0010886~positive regulation of cholesterol storage	GOTERM_BP_DIRECT	2	2.564102564	0.028302587	"ENSMUSG00000002944, ENSMUSG00000015568"	75	7	18082	68.88380952	0.999999983	0.168198232	15.0947131	Low
GO:0042760~very long-chain fatty acid catabolic process	GOTERM_BP_DIRECT	2	2.564102564	0.028302587	"ENSMUSG00000059316, ENSMUSG00000027359"	75	7	18082	68.88380952	0.999999983	0.168198232	15.0947131	Low
GO:1901522~positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	GOTERM_BP_DIRECT	2	2.564102564	0.028302587	"ENSMUSG00000015846, ENSMUSG00000015843"	75	7	18082	68.88380952	0.999999983	0.168198232	15.0947131	Low
GO:0071300~cellular response to retinoic acid	GOTERM_BP_DIRECT	3	3.846153846	0.029112693	"ENSMUSG00000039656, ENSMUSG00000000440, ENSMUSG00000027513"	75	65	18082	11.12738462	0.99999999	0.171380381	15.38029059	Low
GO:0006475~internal protein amino acid acetylation	GOTERM_BP_DIRECT	2	2.564102564	0.032280767	"ENSMUSG00000022853, ENSMUSG00000027513"	75	8	18082	60.27333333	0.999999999	0.18147026	16.28579253	Low
GO:0006072~glycerol-3-phosphate metabolic process	GOTERM_BP_DIRECT	2	2.564102564	0.032280767	"ENSMUSG00000050553, ENSMUSG00000025059"	75	8	18082	60.27333333	0.999999999	0.18147026	16.28579253	Low
GO:0034379~very-low-density lipoprotein particle assembly	GOTERM_BP_DIRECT	2	2.564102564	0.032280767	"ENSMUSG00000032883, ENSMUSG00000032081"	75	8	18082	60.27333333	0.999999999	0.18147026	16.28579253	Low
GO:0046321~positive regulation of fatty acid oxidation	GOTERM_BP_DIRECT	2	2.564102564	0.032280767	"ENSMUSG00000022383, ENSMUSG00000000440"	75	8	18082	60.27333333	0.999999999	0.18147026	16.28579253	Low
GO:0034383~low-density lipoprotein particle clearance	GOTERM_BP_DIRECT	2	2.564102564	0.032280767	"ENSMUSG00000022878, ENSMUSG00000002944"	75	8	18082	60.27333333	0.999999999	0.18147026	16.28579253	Low
GO:0032868~response to insulin	GOTERM_BP_DIRECT	3	3.846153846	0.034241603	"ENSMUSG00000031808, ENSMUSG00000022383, ENSMUSG00000027513"	75	71	18082	10.18704225	1	0.189086374	16.96928998	Low
GO:0071333~cellular response to glucose stimulus	GOTERM_BP_DIRECT	3	3.846153846	0.034241603	"ENSMUSG00000028240, ENSMUSG00000040618, ENSMUSG00000032081"	75	71	18082	10.18704225	1	0.189086374	16.96928998	Low
GO:0032966~negative regulation of collagen biosynthetic process	GOTERM_BP_DIRECT	2	2.564102564	0.03624288	"ENSMUSG00000002250, ENSMUSG00000000440"	75	9	18082	53.5762963	1	0.196657018	17.64870676	Low
GO:0034115~negative regulation of heterotypic cell-cell adhesion	GOTERM_BP_DIRECT	2	2.564102564	0.03624288	"ENSMUSG00000022878, ENSMUSG00000032083"	75	9	18082	53.5762963	1	0.196657018	17.64870676	Low
GO:0043627~response to estrogen	GOTERM_BP_DIRECT	3	3.846153846	0.037841663	"ENSMUSG00000005681, ENSMUSG00000032083, ENSMUSG00000000440"	75	75	18082	9.643733333	1	0.20356205	18.26838914	Low
GO:0055091~phospholipid homeostasis	GOTERM_BP_DIRECT	2	2.564102564	0.040188989	"ENSMUSG00000028773, ENSMUSG00000032083"	75	10	18082	48.21866667	1	0.2107389	18.91246536	Low
GO:0010898~positive regulation of triglyceride catabolic process	GOTERM_BP_DIRECT	2	2.564102564	0.040188989	"ENSMUSG00000032079, ENSMUSG00000032083"	75	10	18082	48.21866667	1	0.2107389	18.91246536	Low
GO:0033993~response to lipid	GOTERM_BP_DIRECT	2	2.564102564	0.040188989	"ENSMUSG00000002944, ENSMUSG00000000440"	75	10	18082	48.21866667	1	0.2107389	18.91246536	Low
GO:0014070~response to organic cyclic compound	GOTERM_BP_DIRECT	3	3.846153846	0.04253552	"ENSMUSG00000032883, ENSMUSG00000018796, ENSMUSG00000024900"	75	80	18082	9.041	1	0.221184704	19.84990934	Low
GO:0010744~positive regulation of macrophage derived foam cell differentiation	GOTERM_BP_DIRECT	2	2.564102564	0.044119158	"ENSMUSG00000002944, ENSMUSG00000015568"	75	11	18082	43.83515152	1	0.222018988	19.924781	Low
"GO:0060100~positive regulation of phagocytosis, engulfment"	GOTERM_BP_DIRECT	2	2.564102564	0.044119158	"ENSMUSG00000002944, ENSMUSG00000000440"	75	11	18082	43.83515152	1	0.222018988	19.924781	Low
GO:0010804~negative regulation of tumor necrosis factor-mediated signaling pathway	GOTERM_BP_DIRECT	2	2.564102564	0.044119158	"ENSMUSG00000022878, ENSMUSG00000032083"	75	11	18082	43.83515152	1	0.222018988	19.924781	Low
GO:0006071~glycerol metabolic process	GOTERM_BP_DIRECT	2	2.564102564	0.044119158	"ENSMUSG00000050553, ENSMUSG00000025059"	75	11	18082	43.83515152	1	0.222018988	19.924781	Low
GO:0008202~steroid metabolic process	GOTERM_BP_DIRECT	3	3.846153846	0.046439168	"ENSMUSG00000028240, ENSMUSG00000027875, ENSMUSG00000032083"	75	84	18082	8.61047619	1	0.231824326	20.80474723	Low
GO:1902894~negative regulation of pri-miRNA transcription from RNA polymerase II promoter	GOTERM_BP_DIRECT	2	2.564102564	0.048033451	"ENSMUSG00000002250, ENSMUSG00000022383"	75	12	18082	40.18222222	1	0.236006875	21.18010418	Low
GO:0045717~negative regulation of fatty acid biosynthetic process	GOTERM_BP_DIRECT	2	2.564102564	0.048033451	"ENSMUSG00000026003, ENSMUSG00000032081"	75	12	18082	40.18222222	1	0.236006875	21.18010418	Low
GO:0001893~maternal placenta development	GOTERM_BP_DIRECT	2	2.564102564	0.05193193	"ENSMUSG00000015846, ENSMUSG00000039656"	75	13	18082	37.09128205	1	0.247370415	22.19990904	Low
GO:0046889~positive regulation of lipid biosynthetic process	GOTERM_BP_DIRECT	2	2.564102564	0.05193193	"ENSMUSG00000026385, ENSMUSG00000025006"	75	13	18082	37.09128205	1	0.247370415	22.19990904	Low
GO:0002024~diet induced thermogenesis	GOTERM_BP_DIRECT	2	2.564102564	0.05193193	"ENSMUSG00000031710, ENSMUSG00000000440"	75	13	18082	37.09128205	1	0.247370415	22.19990904	Low
GO:0046470~phosphatidylcholine metabolic process	GOTERM_BP_DIRECT	2	2.564102564	0.05193193	"ENSMUSG00000032079, ENSMUSG00000032083"	75	13	18082	37.09128205	1	0.247370415	22.19990904	Low
GO:0071222~cellular response to lipopolysaccharide	GOTERM_BP_DIRECT	4	5.128205128	0.054300367	"ENSMUSG00000002250, ENSMUSG00000043089, ENSMUSG00000002944, ENSMUSG00000002108"	75	209	18082	4.614226475	1	0.256692645	23.03651939	Low
GO:0006107~oxaloacetate metabolic process	GOTERM_BP_DIRECT	2	2.564102564	0.055814659	"ENSMUSG00000040618, ENSMUSG00000027513"	75	14	18082	34.44190476	1	0.259913041	23.32552932	Low
GO:0008610~lipid biosynthetic process	GOTERM_BP_DIRECT	2	2.564102564	0.055814659	"ENSMUSG00000037071, ENSMUSG00000018796"	75	14	18082	34.44190476	1	0.259913041	23.32552932	Low
GO:0006469~negative regulation of protein kinase activity	GOTERM_BP_DIRECT	3	3.846153846	0.057811229	"ENSMUSG00000030890, ENSMUSG00000024122, ENSMUSG00000062515"	75	95	18082	7.613473684	1	0.267216346	23.98095409	Low
GO:0032270~positive regulation of cellular protein metabolic process	GOTERM_BP_DIRECT	2	2.564102564	0.063533119	"ENSMUSG00000022878, ENSMUSG00000002108"	75	16	18082	30.13666667	1	0.291504897	26.16069591	Low
GO:0071456~cellular response to hypoxia	GOTERM_BP_DIRECT	3	3.846153846	0.066624185	"ENSMUSG00000002250, ENSMUSG00000054422, ENSMUSG00000027513"	75	103	18082	7.022135922	1	0.302433376	27.14145684	Low
GO:0071285~cellular response to lithium ion	GOTERM_BP_DIRECT	2	2.564102564	0.067368973	"ENSMUSG00000000440, ENSMUSG00000062515"	75	17	18082	28.36392157	1	0.302433376	27.14145684	Low
GO:0060038~cardiac muscle cell proliferation	GOTERM_BP_DIRECT	2	2.564102564	0.067368973	"ENSMUSG00000015846, ENSMUSG00000039656"	75	17	18082	28.36392157	1	0.302433376	27.14145684	Low
GO:0045598~regulation of fat cell differentiation	GOTERM_BP_DIRECT	2	2.564102564	0.071189327	"ENSMUSG00000002250, ENSMUSG00000000440"	75	18	18082	26.78814815	1	0.31505064	28.27377538	Low
GO:0043277~apoptotic cell clearance	GOTERM_BP_DIRECT	2	2.564102564	0.071189327	"ENSMUSG00000002944, ENSMUSG00000002108"	75	18	18082	26.78814815	1	0.31505064	28.27377538	Low
GO:0016042~lipid catabolic process	GOTERM_BP_DIRECT	3	3.846153846	0.073508127	"ENSMUSG00000015568, ENSMUSG00000030546, ENSMUSG00000032081"	75	109	18082	6.63559633	1	0.323021629	28.98912052	Low
GO:0033189~response to vitamin A	GOTERM_BP_DIRECT	2	2.564102564	0.074994243	"ENSMUSG00000002250, ENSMUSG00000000440"	75	19	18082	25.37824561	1	0.327247604	29.36837472	Low
GO:0044130~negative regulation of growth of symbiont in host	GOTERM_BP_DIRECT	2	2.564102564	0.078783781	"ENSMUSG00000037071, ENSMUSG00000002944"	75	20	18082	24.10933333	1	0.341396383	30.63813692	Low
GO:0071398~cellular response to fatty acid	GOTERM_BP_DIRECT	2	2.564102564	0.082558003	"ENSMUSG00000024900, ENSMUSG00000031710"	75	21	18082	22.96126984	1	0.355284095	31.88447004	Low
"GO:0045893~positive regulation of transcription, DNA-templated"	GOTERM_BP_DIRECT	6	7.692307692	0.086914219	"ENSMUSG00000002250, ENSMUSG00000030890, ENSMUSG00000015846, ENSMUSG00000002108, ENSMUSG00000022383, ENSMUSG00000000440"	75	576	18082	2.511388889	1	0.37146899	33.3369606	Low
GO:0048041~focal adhesion assembly	GOTERM_BP_DIRECT	2	2.564102564	0.090060743	"ENSMUSG00000024122, ENSMUSG00000025006"	75	23	18082	20.96463768	1	0.382298665	34.30885458	Low
GO:0030574~collagen catabolic process	GOTERM_BP_DIRECT	2	2.564102564	0.093789383	"ENSMUSG00000043089, ENSMUSG00000041620"	75	24	18082	20.09111111	1	0.395436318	35.48787465	Low
GO:0043231~intracellular membrane-bounded organelle	GOTERM_CC_DIRECT	28	35.8974359	2.20E-19	"ENSMUSG00000028240, ENSMUSG00000032883, ENSMUSG00000031278, ENSMUSG00000030382, ENSMUSG00000030162, ENSMUSG00000050195, ENSMUSG00000063929, ENSMUSG00000032281, ENSMUSG00000021751, ENSMUSG00000028603, ENSMUSG00000027359, ENSMUSG00000037071, ENSMUSG00000018796, ENSMUSG00000024900, ENSMUSG00000066072, ENSMUSG00000066071, ENSMUSG00000078597, ENSMUSG00000025202, ENSMUSG00000000440, ENSMUSG00000025203, ENSMUSG00000020333, ENSMUSG00000028712, ENSMUSG00000031808, ENSMUSG00000020777, ENSMUSG00000002944, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000050445"	78	751	19662	9.398340674	2.17E-17	2.17E-17	1.76E-15	Hit
GO:0005777~peroxisome	GOTERM_CC_DIRECT	13	16.66666667	1.17E-13	"ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000029098, ENSMUSG00000032281, ENSMUSG00000021751, ENSMUSG00000028603, ENSMUSG00000020333, ENSMUSG00000027359, ENSMUSG00000022853, ENSMUSG00000018796, ENSMUSG00000020777, ENSMUSG00000036138, ENSMUSG00000010651"	78	131	19662	25.01526718	1.15E-11	5.77E-12	4.66E-10	Hit
GO:0005739~mitochondrion	GOTERM_CC_DIRECT	30	38.46153846	3.46E-12	"ENSMUSG00000032883, ENSMUSG00000031278, ENSMUSG00000007783, ENSMUSG00000026385, ENSMUSG00000029098, ENSMUSG00000027875, ENSMUSG00000024981, ENSMUSG00000025059, ENSMUSG00000026003, ENSMUSG00000021751, ENSMUSG00000028603, ENSMUSG00000027359, ENSMUSG00000018796, ENSMUSG00000028607, ENSMUSG00000024207, ENSMUSG00000024900, ENSMUSG00000050553, ENSMUSG00000031710, ENSMUSG00000010651, ENSMUSG00000026170, ENSMUSG00000062908, ENSMUSG00000040618, ENSMUSG00000020333, ENSMUSG00000022853, ENSMUSG00000031808, ENSMUSG00000020777, ENSMUSG00000002944, ENSMUSG00000032418, ENSMUSG00000036138, ENSMUSG00000078937"	78	1721	19662	4.394135789	3.43E-10	1.14E-10	9.23E-09	Hit
GO:0005783~endoplasmic reticulum	GOTERM_CC_DIRECT	26	33.33333333	1.55E-11	"ENSMUSG00000028240, ENSMUSG00000032883, ENSMUSG00000031278, ENSMUSG00000007783, ENSMUSG00000030382, ENSMUSG00000026385, ENSMUSG00000050195, ENSMUSG00000024981, ENSMUSG00000032281, ENSMUSG00000024600, ENSMUSG00000028603, ENSMUSG00000024665, ENSMUSG00000027359, ENSMUSG00000037071, ENSMUSG00000018796, ENSMUSG00000030546, ENSMUSG00000066072, ENSMUSG00000066071, ENSMUSG00000059316, ENSMUSG00000025202, ENSMUSG00000025203, ENSMUSG00000020333, ENSMUSG00000031808, ENSMUSG00000022878, ENSMUSG00000002944, ENSMUSG00000050445"	78	1323	19662	4.953892668	1.53E-09	3.83E-10	3.10E-08	Hit
GO:0005741~mitochondrial outer membrane	GOTERM_CC_DIRECT	10	12.82051282	8.49E-09	"ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000018796, ENSMUSG00000007783, ENSMUSG00000024900, ENSMUSG00000050553, ENSMUSG00000024981, ENSMUSG00000025059, ENSMUSG00000078937, ENSMUSG00000020333"	78	153	19662	16.47561589	8.40E-07	1.68E-07	1.36E-05	Hit
GO:0005789~endoplasmic reticulum membrane	GOTERM_CC_DIRECT	17	21.79487179	1.24E-08	"ENSMUSG00000059316, ENSMUSG00000028240, ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000007783, ENSMUSG00000050195, ENSMUSG00000024981, ENSMUSG00000025202, ENSMUSG00000025203, ENSMUSG00000020333, ENSMUSG00000024665, ENSMUSG00000027359, ENSMUSG00000037071, ENSMUSG00000018796, ENSMUSG00000050445, ENSMUSG00000066072, ENSMUSG00000066071"	78	710	19662	6.035644637	1.23E-06	2.04E-07	1.65E-05	LOW
GO:0031090~organelle membrane	GOTERM_CC_DIRECT	8	10.25641026	8.33E-08	"ENSMUSG00000028240, ENSMUSG00000037071, ENSMUSG00000050195, ENSMUSG00000025202, ENSMUSG00000050445, ENSMUSG00000025203, ENSMUSG00000066072, ENSMUSG00000066071"	78	94	19662	21.45335516	8.25E-06	1.18E-06	9.52E-05	LOW
GO:0042627~chylomicron	GOTERM_CC_DIRECT	5	6.41025641	1.51E-07	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000015568, ENSMUSG00000032083, ENSMUSG00000032081"	78	13	19662	96.95266272	1.50E-05	1.87E-06	1.51E-04	LOW
GO:0034361~very-low-density lipoprotein particle	GOTERM_CC_DIRECT	5	6.41025641	8.06E-07	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000015568, ENSMUSG00000032083, ENSMUSG00000032081"	78	19	19662	66.33603239	7.98E-05	8.86E-06	7.16E-04	LOW
GO:0005778~peroxisomal membrane	GOTERM_CC_DIRECT	6	7.692307692	2.00E-06	"ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000018796, ENSMUSG00000020777, ENSMUSG00000020333, ENSMUSG00000027359"	78	53	19662	28.53701016	1.98E-04	1.98E-05	0.001600543	LOW
GO:0005829~cytosol	GOTERM_CC_DIRECT	19	24.35897436	1.43E-04	"ENSMUSG00000005681, ENSMUSG00000054422, ENSMUSG00000028773, ENSMUSG00000025059, ENSMUSG00000032083, ENSMUSG00000032081, ENSMUSG00000024122, ENSMUSG00000000440, ENSMUSG00000008348, ENSMUSG00000028603, ENSMUSG00000062515, ENSMUSG00000027513, ENSMUSG00000025006, ENSMUSG00000022853, ENSMUSG00000019874, ENSMUSG00000024207, ENSMUSG00000020405, ENSMUSG00000032418, ENSMUSG00000030546"	78	1784	19662	2.68467575	0.014095855	0.001290466	0.104280094	LOW
GO:0034366~spherical high-density lipoprotein particle	GOTERM_CC_DIRECT	3	3.846153846	4.17E-04	"ENSMUSG00000005681, ENSMUSG00000032083, ENSMUSG00000032081"	78	8	19662	94.52884615	0.040492917	0.003443913	0.278295986	LOW
GO:0070062~extracellular exosome	GOTERM_CC_DIRECT	22	28.20512821	0.001129605	"ENSMUSG00000031278, ENSMUSG00000005681, ENSMUSG00000054422, ENSMUSG00000030162, ENSMUSG00000026385, ENSMUSG00000028773, ENSMUSG00000062908, ENSMUSG00000040618, ENSMUSG00000063929, ENSMUSG00000027533, ENSMUSG00000032083, ENSMUSG00000032081, ENSMUSG00000008348, ENSMUSG00000028603, ENSMUSG00000062515, ENSMUSG00000027513, ENSMUSG00000028712, ENSMUSG00000027359, ENSMUSG00000022878, ENSMUSG00000050553, ENSMUSG00000015568, ENSMUSG00000066072"	78	2674	19662	2.073931304	0.105861074	0.008602377	0.695141616	LOW
GO:0005782~peroxisomal matrix	GOTERM_CC_DIRECT	3	3.846153846	0.001981773	"ENSMUSG00000054422, ENSMUSG00000029098, ENSMUSG00000028603"	78	17	19662	44.4841629	0.178308431	0.014013965	1.132441616	LOW
GO:0034364~high-density lipoprotein particle	GOTERM_CC_DIRECT	3	3.846153846	0.003029223	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000032083"	78	21	19662	36.01098901	0.259439681	0.01999287	1.61558546	LOW
GO:0005743~mitochondrial inner membrane	GOTERM_CC_DIRECT	7	8.974358974	0.004096014	"ENSMUSG00000028607, ENSMUSG00000026170, ENSMUSG00000031808, ENSMUSG00000024900, ENSMUSG00000027875, ENSMUSG00000024981, ENSMUSG00000031710"	78	387	19662	4.559530908	0.333915133	0.02534409	2.048007248	LOW
GO:0031966~mitochondrial membrane	GOTERM_CC_DIRECT	4	5.128205128	0.007310103	"ENSMUSG00000031278, ENSMUSG00000062908, ENSMUSG00000026003, ENSMUSG00000031710"	78	101	19662	9.983244478	0.516332832	0.042570597	3.440048269	LOW
GO:0090575~RNA polymerase II transcription factor complex	GOTERM_CC_DIRECT	3	3.846153846	0.007830685	"ENSMUSG00000015846, ENSMUSG00000002108, ENSMUSG00000000440"	78	34	19662	22.24208145	0.540809024	0.043068768	3.48030449	LOW
GO:0016020~membrane	GOTERM_CC_DIRECT	39	50	0.008955865	"ENSMUSG00000028240, ENSMUSG00000032883, ENSMUSG00000031278, ENSMUSG00000007783, ENSMUSG00000030382, ENSMUSG00000030162, ENSMUSG00000029098, ENSMUSG00000050195, ENSMUSG00000024981, ENSMUSG00000025059, ENSMUSG00000024122, ENSMUSG00000028427, ENSMUSG00000028603, ENSMUSG00000024665, ENSMUSG00000027359, ENSMUSG00000037071, ENSMUSG00000018796, ENSMUSG00000028607, ENSMUSG00000024207, ENSMUSG00000024900, ENSMUSG00000020405, ENSMUSG00000050553, ENSMUSG00000015568, ENSMUSG00000031710, ENSMUSG00000066072, ENSMUSG00000066071, ENSMUSG00000059316, ENSMUSG00000030890, ENSMUSG00000026170, ENSMUSG00000025202, ENSMUSG00000025203, ENSMUSG00000020333, ENSMUSG00000025006, ENSMUSG00000031808, ENSMUSG00000020777, ENSMUSG00000002944, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000050445"	78	6998	19662	1.404829951	0.589600749	0.046664772	3.770890682	LOW
GO:0005615~extracellular space	GOTERM_CC_DIRECT	13	16.66666667	0.013625748	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000026385, ENSMUSG00000028773, ENSMUSG00000032083, ENSMUSG00000032081, ENSMUSG00000008348, ENSMUSG00000002289, ENSMUSG00000043089, ENSMUSG00000022878, ENSMUSG00000002944, ENSMUSG00000015568, ENSMUSG00000017754"	78	1504	19662	2.178856383	0.742882898	0.067447454	5.450299317	LOW
GO:0072562~blood microparticle	GOTERM_CC_DIRECT	4	5.128205128	0.015384187	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000032083, ENSMUSG00000002289"	78	133	19662	7.581260844	0.784516608	0.072525455	5.860642834	LOW
GO:0005811~lipid particle	GOTERM_CC_DIRECT	3	3.846153846	0.027628405	"ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000030546"	78	66	19662	11.45804196	0.937569891	0.124327824	10.04669284	LOW
GO:0031526~brush border membrane	GOTERM_CC_DIRECT	3	3.846153846	0.030796786	"ENSMUSG00000059316, ENSMUSG00000002944, ENSMUSG00000028427"	78	70	19662	10.8032967	0.954807152	0.13256008	10.71192562	LOW
GO:0045179~apical cortex	GOTERM_CC_DIRECT	2	2.564102564	0.034705504	"ENSMUSG00000054422, ENSMUSG00000023057"	78	9	19662	56.01709402	0.969708334	0.143160204	11.56850134	LOW
GO:0030176~integral component of endoplasmic reticulum membrane	GOTERM_CC_DIRECT	3	3.846153846	0.052509483	"ENSMUSG00000037071, ENSMUSG00000030382, ENSMUSG00000027359"	78	94	19662	8.045008183	0.995203634	0.207937553	16.80303458	LOW
GO:0005740~mitochondrial envelope	GOTERM_CC_DIRECT	2	2.564102564	0.071874	"ENSMUSG00000026170, ENSMUSG00000031710"	78	19	19662	26.53441296	0.999379007	0.266871895	21.56540563	LOW
GO:0005654~nucleoplasm	GOTERM_CC_DIRECT	13	16.66666667	0.072783244	"ENSMUSG00000030890, ENSMUSG00000054422, ENSMUSG00000030162, ENSMUSG00000015846, ENSMUSG00000022383, ENSMUSG00000000440, ENSMUSG00000008348, ENSMUSG00000028603, ENSMUSG00000062515, ENSMUSG00000025006, ENSMUSG00000019874, ENSMUSG00000028607, ENSMUSG00000020777"	78	1935	19662	1.693540052	0.999436433	0.266871895	21.56540563	LOW
GO:0043235~receptor complex	GOTERM_CC_DIRECT	3	3.846153846	0.097004306	"ENSMUSG00000015846, ENSMUSG00000030162, ENSMUSG00000002108"	78	134	19662	5.643513203	0.999958991	0.34062114	27.52494057	LOW
GO:0043234~protein complex	GOTERM_CC_DIRECT	6	7.692307692	0.09977791	"ENSMUSG00000022878, ENSMUSG00000030890, ENSMUSG00000054422, ENSMUSG00000002944, ENSMUSG00000030382, ENSMUSG00000028603"	78	628	19662	2.408378246	0.999969758	0.34062114	27.52494057	LOW
GO:0004467~long-chain fatty acid-CoA ligase activity	GOTERM_MF_DIRECT	12	15.38461538	4.55E-25	"ENSMUSG00000059316, ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000018796, ENSMUSG00000031808, ENSMUSG00000024207, ENSMUSG00000030382, ENSMUSG00000024981, ENSMUSG00000032281, ENSMUSG00000024600, ENSMUSG00000020333, ENSMUSG00000027359"	78	13	17446	206.4615385	1.00E-22	1.00E-22	7.50E-21	Hit
GO:0005504~fatty acid binding	GOTERM_MF_DIRECT	11	14.1025641	7.63E-18	"ENSMUSG00000002250, ENSMUSG00000019874, ENSMUSG00000054422, ENSMUSG00000020777, ENSMUSG00000028773, ENSMUSG00000020405, ENSMUSG00000029098, ENSMUSG00000027533, ENSMUSG00000023057, ENSMUSG00000021751, ENSMUSG00000062515"	78	26	17446	94.62820513	1.68E-15	8.39E-16	6.30E-14	Hit
