"","term_name","source","p_value"
"439","Mre11 complex","GO:CC",0.0236038698871176
"440","synaptonemal structure","GO:CC",0.0259253700148698
"441","synaptonemal complex","GO:CC",0.0259253700148698
"442","origin recognition complex","GO:CC",0.0351304629139394
"443","nuclear origin of replication recognition complex","GO:CC",0.0351304629139394
"444","host cell","GO:CC",0.0392762347680209
"445","host cellular component","GO:CC",0.0392762347680209
"446","nuclear ubiquitin ligase complex","GO:CC",0.0408466765731957
"447","PCNA-p21 complex","GO:CC",0.0419574085260561
"448","MutLalpha complex","GO:CC",0.0419574085260561
"449","heterocyclic compound binding","GO:MF",2.21795117585283e-22
"450","organic cyclic compound binding","GO:MF",1.0040852097428e-21
"451","catalytic activity, acting on DNA","GO:MF",1.60075264630806e-20
"452","DNA binding","GO:MF",7.36288139000123e-20
"453","nucleic acid binding","GO:MF",9.95754685856186e-19
"454","DNA-dependent ATPase activity","GO:MF",7.36899224224986e-14
"455","single-stranded DNA binding","GO:MF",1.20028536219264e-13
"456","ATP binding","GO:MF",2.90835233834062e-13
"457","protein binding","GO:MF",6.15185820884978e-13
"458","adenyl ribonucleotide binding","GO:MF",1.48054156204214e-12
"459","chromatin binding","GO:MF",1.84145562559279e-12
"460","adenyl nucleotide binding","GO:MF",1.93483873576146e-12
"461","damaged DNA binding","GO:MF",3.17948046756485e-12
"462","purine ribonucleoside triphosphate binding","GO:MF",7.48444205710077e-12
"463","nucleotide binding","GO:MF",1.20350483295948e-11
"464","nucleoside phosphate binding","GO:MF",1.22960140878372e-11
"465","purine ribonucleotide binding","GO:MF",3.43392173939564e-11
"466","DNA helicase activity","GO:MF",3.76123773444492e-11
"467","purine nucleotide binding","GO:MF",4.4938959880159e-11
"468","ribonucleotide binding","GO:MF",5.02339865478809e-11
"469","ATPase activity","GO:MF",2.76823995094278e-10
"470","small molecule binding","GO:MF",3.1188122978223e-09
"471","pyrophosphatase activity","GO:MF",3.3269643041258e-09
"472","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","GO:MF",3.78706960412602e-09
"473","hydrolase activity, acting on acid anhydrides","GO:MF",3.78706960412602e-09
"474","carbohydrate derivative binding","GO:MF",4.45360746173079e-09
"475","helicase activity","GO:MF",9.2087360408229e-09
"476","nucleoside-triphosphatase activity","GO:MF",1.27734668311263e-08
"477","RNA binding","GO:MF",7.38392046708109e-08
"478","binding","GO:MF",7.25861049095964e-07
"479","cyclin-dependent protein serine/threonine kinase regulator activity","GO:MF",7.57871189414279e-07
"480","DNA replication origin binding","GO:MF",1.30708046542039e-06
"481","histone binding","GO:MF",2.21808970736156e-06
"482","anion binding","GO:MF",2.3337645846565e-06
"483","enzyme binding","GO:MF",3.48193123415459e-06
"484","catalytic activity","GO:MF",4.03604623307553e-06
"485","transferase activity, transferring phosphorus-containing groups","GO:MF",4.19731250773033e-06
"486","double-stranded DNA binding","GO:MF",1.38788292981403e-05
"487","hydrolase activity","GO:MF",2.65468863329672e-05
"488","kinase activity","GO:MF",6.04296795392572e-05
"489","deoxyribonuclease activity","GO:MF",0.000100808196917004
"490","nuclease activity","GO:MF",0.000192601219331758
"491","3'-5' DNA helicase activity","GO:MF",0.000228234368081766
"492","single-stranded DNA helicase activity","GO:MF",0.000320542060729111
"493","protein-DNA loading ATPase activity","GO:MF",0.000665886187117254
"494","DNA clamp loader activity","GO:MF",0.000665886187117254
"495","DNA secondary structure binding","GO:MF",0.000748677291900133
"496","exodeoxyribonuclease activity, producing 5'-phosphomonoesters","GO:MF",0.00165478430670986
"497","exodeoxyribonuclease activity","GO:MF",0.00165478430670986
"498","mismatch repair complex binding","GO:MF",0.00171505080793259
"499","cyclin-dependent protein serine/threonine kinase inhibitor activity","GO:MF",0.0025511543982085
"500","kinase binding","GO:MF",0.00259566783797131
"501","mismatched DNA binding","GO:MF",0.00686082757250276
"502","cyclin binding","GO:MF",0.00779737448659833
"503","histone kinase activity","GO:MF",0.00907169197397645
"504","DNA insertion or deletion binding","GO:MF",0.0102664357696717
"505","centromeric DNA binding","GO:MF",0.0102664357696717
"506","four-way junction DNA binding","GO:MF",0.0117643534857449
"507","3'-5' exonuclease activity","GO:MF",0.0137803365775646
"508","exonuclease activity","GO:MF",0.0139591234372433
"509","protein kinase binding","GO:MF",0.0145711599779765
"510","histone deacetylase binding","GO:MF",0.0160216610685191
"511","telomeric DNA binding","GO:MF",0.0165694874016909
"512","exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters","GO:MF",0.0168111993459624
"513","tubulin binding","GO:MF",0.0174875546506948
"514","sequence-specific DNA binding","GO:MF",0.0199443997674523
"515","anaphase-promoting complex binding","GO:MF",0.0282964831334698
"516","identical protein binding","GO:MF",0.0298109872371073
"517","Ran GTPase binding","GO:MF",0.0315471540779788
"518","nucleobase-containing compound kinase activity","GO:MF",0.0445505570688155
"519","Cell cycle","KEGG",8.11687371687438e-34
"520","DNA replication","KEGG",6.64973689923814e-30
"521","Mismatch repair","KEGG",1.45590540550462e-18
"522","Homologous recombination","KEGG",1.7534460878784e-12
"523","Nucleotide excision repair","KEGG",6.8951270602761e-12
"524","Cellular senescence","KEGG",1.8864835686429e-08
"525","Human T-cell leukemia virus 1 infection","KEGG",4.33790156450634e-07
"526","Fanconi anemia pathway","KEGG",6.71746717198097e-07
"527","p53 signaling pathway","KEGG",1.13053838776139e-06
"528","Base excision repair","KEGG",2.3764980814789e-06
"529","Oocyte meiosis","KEGG",0.000321876014080268
"530","Platinum drug resistance","KEGG",0.00123338987820164
"531","Pyrimidine metabolism","KEGG",0.00223469464828681
"532","Non-homologous end-joining","KEGG",0.00309199049848524
"533","Small cell lung cancer","KEGG",0.00739857972956333
"534","Progesterone-mediated oocyte maturation","KEGG",0.0107661198313902
"535","Bladder cancer","KEGG",0.0347686622488698
"536","Cell Cycle","REAC",2.3180024535545e-71
"537","Cell Cycle, Mitotic","REAC",1.93486019919198e-58
"538","S Phase","REAC",2.42124800445971e-35
"539","Cell Cycle Checkpoints","REAC",5.13780833661857e-33
"540","DNA strand elongation","REAC",7.66390914829517e-31
"541","Mitotic G1 phase and G1/S transition","REAC",2.69271372120282e-24
"542","HDR through Homologous Recombination (HRR)","REAC",5.4577520939848e-23
"543","DNA Double-Strand Break Repair","REAC",1.12034334592461e-22
"544","Synthesis of DNA","REAC",7.01222152387428e-22
"545","DNA Repair","REAC",1.49609131611771e-21
"546","DNA Replication","REAC",4.56529786649268e-21
"547","G1/S Transition","REAC",1.1059585982425e-20
"548","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)","REAC",2.6322134949726e-19
"549","Activation of ATR in response to replication stress","REAC",3.46197119572522e-19
"550","G2/M Checkpoints","REAC",7.46111606658689e-19
"551","Homology Directed Repair","REAC",8.75888834786643e-19
"552","Lagging Strand Synthesis","REAC",5.0813200192743e-17
"553","Mitotic Prometaphase","REAC",8.54525888328786e-17
"554","Activation of the pre-replicative complex","REAC",1.18188020647829e-16
"555","PCNA-Dependent Long Patch Base Excision Repair","REAC",1.31622365043723e-16
"556","Homologous DNA Pairing and Strand Exchange","REAC",2.39818342571228e-16
"557","M Phase","REAC",2.71821973842943e-16
"558","Telomere C-strand (Lagging Strand) Synthesis","REAC",3.40926801012277e-16
"559","Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)","REAC",1.21930662806105e-15
"560","Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)","REAC",1.21930662806105e-15
"561","Presynaptic phase of homologous DNA pairing and strand exchange","REAC",2.64578792115151e-15
"562","Mitotic Anaphase","REAC",3.09273824591157e-15
"563","Resolution of AP sites via the multiple-nucleotide patch replacement pathway","REAC",3.18940226744049e-15
"564","Gap-filling DNA repair synthesis and ligation in GG-NER","REAC",3.18940226744049e-15
"565","Mitotic Metaphase and Anaphase","REAC",3.48138307521408e-15
"566","Resolution of Sister Chromatid Cohesion","REAC",4.19648855523491e-15
"567","Mismatch Repair","REAC",4.51199427069661e-15
"568","Recognition of DNA damage by PCNA-containing replication complex","REAC",6.8723880164892e-14
"569","Processive synthesis on the lagging strand","REAC",6.75386410913399e-13
"570","Extension of Telomeres","REAC",7.89841794057235e-13
"571","Regulation of TP53 Activity through Phosphorylation","REAC",8.71282610609768e-13
"572","Resolution of Abasic Sites (AP sites)","REAC",1.22431221244558e-12
"573","Transcriptional Regulation by TP53","REAC",1.38920895972136e-12
"574","G2/M DNA damage checkpoint","REAC",1.58476153168647e-12
"575","Unwinding of DNA","REAC",3.48115712668997e-12
"576","Polymerase switching on the C-strand of the telomere","REAC",4.25935486248856e-12
"577","Meiosis","REAC",5.17654845526454e-12
"578","Termination of translesion DNA synthesis","REAC",8.69355817665571e-12
"579","Regulation of TP53 Activity","REAC",1.57697384814527e-11
"580","Leading Strand Synthesis","REAC",3.08517504937065e-11
"581","Polymerase switching","REAC",3.08517504937065e-11
"582","Removal of the Flap Intermediate","REAC",3.08517504937065e-11
"583","Separation of Sister Chromatids","REAC",3.74642420837263e-11
"584","HDR through Single Strand Annealing (SSA)","REAC",6.67335410431782e-11
"585","Chromosome Maintenance","REAC",7.08948912993169e-11
"586","DNA Damage Bypass","REAC",8.71341059469263e-11
"587","Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template","REAC",1.37181679417492e-10
"588","Telomere Maintenance","REAC",1.63749966987574e-10
"589","Reproduction","REAC",2.23476152961603e-10
"590","Dual Incision in GG-NER","REAC",2.69789290568205e-10
"591","SUMO E3 ligases SUMOylate target proteins","REAC",4.85145163290236e-10
"592","Processing of DNA double-strand break ends","REAC",6.50254815376089e-10
"593","SUMOylation","REAC",9.39322886389703e-10
"594","DNA Replication Pre-Initiation","REAC",1.02786538757609e-09
"595","Processive synthesis on the C-strand of the telomere","REAC",1.3506117175707e-09
"596","Base Excision Repair","REAC",2.0682717248933e-09
"597","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","REAC",3.41198201325876e-09
"598","Amplification of signal from the kinetochores","REAC",3.41198201325876e-09
"599","Gap-filling DNA repair synthesis and ligation in TC-NER","REAC",3.87242115409512e-09
"600","Gene expression (Transcription)","REAC",1.16387996862978e-08
"601","Meiotic recombination","REAC",2.09793042101694e-08
"602","Removal of the Flap Intermediate from the C-strand","REAC",2.37473485021154e-08
"603","Mitotic Spindle Checkpoint","REAC",3.68704759669623e-08
"604","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","REAC",5.64147371468976e-08
"605","Dual incision in TC-NER","REAC",8.25978310961961e-08
"606","EML4 and NUDC in mitotic spindle formation","REAC",9.19511416200484e-08
"607","RHO GTPases Activate Formins","REAC",1.08337139037713e-07
"608","Global Genome Nucleotide Excision Repair (GG-NER)","REAC",1.75043403105383e-07
"609","Cellular Senescence","REAC",4.04705925883826e-07
"610","RNA Polymerase II Transcription","REAC",4.09439978437029e-07
"611","Translesion synthesis by REV1","REAC",7.7139421470873e-07
"612","DNA Damage/Telomere Stress Induced Senescence","REAC",1.224600582118e-06
"613","Translesion synthesis by POLK","REAC",1.29442627562812e-06
"614","Translesion synthesis by POLI","REAC",1.29442627562812e-06
"615","Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)","REAC",1.38218734238918e-06
"616","Translesion Synthesis by POLH","REAC",3.26765164104411e-06
"617","SUMOylation of DNA damage response and repair proteins","REAC",4.68236715787875e-06
"618","Nucleotide Excision Repair","REAC",4.68845360594491e-06
"619","SUMOylation of DNA replication proteins","REAC",5.9243045202262e-06
"620","Mitotic Telophase/Cytokinesis","REAC",7.99372886774401e-06
"621","Resolution of D-loop Structures through Holliday Junction Intermediates","REAC",1.12057523940745e-05
"622","Resolution of D-Loop Structures","REAC",1.44627337362911e-05
"623","Generic Transcription Pathway","REAC",1.61395971921112e-05
"624","TP53 Regulates Transcription of Cell Cycle Genes","REAC",1.99398918837094e-05
"625","G2/M Transition","REAC",2.25663596623057e-05
"626","Mitotic G2-G2/M phases","REAC",2.60190207344246e-05
"627","Cyclin A/B1/B2 associated events during G2/M transition","REAC",2.88349669065922e-05
"628","RHO GTPase Effectors","REAC",3.88738756836963e-05
"629","G0 and Early G1","REAC",5.19028580390794e-05
"630","Cohesin Loading onto Chromatin","REAC",8.05732195293894e-05
"631","Establishment of Sister Chromatid Cohesion","REAC",0.000145877526711717
"632","Transcriptional Regulation by E2F6","REAC",0.00028711333178685
"633","Sensing of DNA Double Strand Breaks","REAC",0.000330920402205177
"634","TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest","REAC",0.000608819610598324
"635","DNA Double Strand Break Response","REAC",0.00108243336100036
"636","Cellular responses to stress","REAC",0.00116430469381032
"637","Polo-like kinase mediated events","REAC",0.00129548940603434
"638","DNA replication initiation","REAC",0.00150734361803508
"639","Cellular responses to external stimuli","REAC",0.00177820878347943
"640","Signaling by Rho GTPases","REAC",0.0022164718827619
"641","Cyclin A:Cdk2-associated events at S phase entry","REAC",0.00248641047115248
"642","Nuclear Envelope Breakdown","REAC",0.00283603865964471
"643","Rev-mediated nuclear export of HIV RNA","REAC",0.00331046573610918
"644","Assembly of the pre-replicative complex","REAC",0.00377264841743576
"645","G1/S DNA Damage Checkpoints","REAC",0.00377264841743576
"646","Switching of origins to a post-replicative state","REAC",0.0039933737516757
"647","Nonhomologous End-Joining (NHEJ)","REAC",0.00421200922191551
"648","Interactions of Rev with host cellular proteins","REAC",0.00478929947301409
"649","Orc1 removal from chromatin","REAC",0.00522110907077958
"650","AURKA Activation by TPX2","REAC",0.00522110907077958
"651","HIV Life Cycle","REAC",0.00676906102224401
"652","Condensation of Prometaphase Chromosomes","REAC",0.00685280479658818
"653","E2F mediated regulation of DNA replication","REAC",0.00724580429698363
"654","Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks","REAC",0.00866837972259817
"655","Meiotic synapsis","REAC",0.00954790973553705
"656","Fanconi Anemia Pathway","REAC",0.0109005312118486
"657","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex","REAC",0.0144932419166844
"658","G2/M DNA replication checkpoint","REAC",0.0145779482325866
"659","Diseases of Mismatch Repair (MMR)","REAC",0.0145779482325866
"660","Cyclin E associated events during G1/S transition ","REAC",0.0165492462000076
"661","Mitotic Prophase","REAC",0.0180767633075583
"662","G1 Phase","REAC",0.0193561720873812
"663","Cyclin D associated events in G1","REAC",0.0193561720873812
"664","Regulation of PLK1 Activity at G2/M Transition","REAC",0.0196715842317046
"665","Early Phase of HIV Life Cycle","REAC",0.0200470108391187
"666","TP53 Regulates Transcription of DNA Repair Genes","REAC",0.0202853594707911
"667","Interconversion of nucleotide di- and triphosphates","REAC",0.0208688407616734
"668","APC/C-mediated degradation of cell cycle proteins","REAC",0.0214080835548233
"669","Regulation of mitotic cell cycle","REAC",0.0214080835548233
"670","G1/S-Specific Transcription","REAC",0.025090666821141
"671","PTK6 Regulates Cell Cycle","REAC",0.0288249760629681
"672","Phosphorylation of Emi1","REAC",0.0288249760629681
"673","NEP/NS2 Interacts with the Cellular Export Machinery","REAC",0.0299422416304925
"674","Export of Viral Ribonucleoproteins from Nucleus","REAC",0.0354856350768401
"675","Initiation of Nuclear Envelope (NE) Reformation","REAC",0.0355800120276272
"676","Formation of Senescence-Associated Heterochromatin Foci (SAHF)","REAC",0.0355800120276272
"677","Metabolism of nucleotides","REAC",0.0375053475254682
"678","Nuclear Envelope (NE) Reassembly","REAC",0.0401544124909698
"679","Vpr-mediated nuclear import of PICs","REAC",0.0417858877745894
"680","Oxidative Stress Induced Senescence","REAC",0.048227497877482
"681","2-LTR circle formation","REAC",0.0498715692894709
"682","Activation of NIMA Kinases NEK9, NEK6, NEK7","REAC",0.0498715692894709
"683","Retinoblastoma Gene in Cancer","WP",1.14580910684648e-41
"684","Cell Cycle","WP",6.40471565485297e-28
"685","G1 to S cell cycle control","WP",6.45900283338257e-27
"686","DNA Replication","WP",7.4135332737535e-24
"687","DNA Repair Pathways Full Network","WP",2.02240534420669e-21
"688","DNA Mismatch Repair","WP",3.42508431729319e-21
"689","DNA IR-damage and cellular response via ATR","WP",7.51310332728865e-21
"690","DNA Damage Response","WP",2.44275413950195e-18
"691","miRNA Regulation of DNA Damage Response","WP",1.2411434004026e-16
"692","Integrated Cancer Pathway","WP",6.36463282112327e-15
"693","Regulation of sister chromatid separation at the metaphase-anaphase transition","WP",4.35469517195936e-12
"694","ATM Signaling Pathway","WP",2.46823348005285e-11
"695","Nucleotide Excision Repair","WP",7.14931875188347e-11
"696","DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM","WP",1.22510145829189e-10
"697","Homologous recombination","WP",2.25922851075189e-09
"698","ATM Signaling Network in Development and Disease ","WP",4.12200382061754e-09
"699","Pyrimidine metabolism","WP",7.76234336051348e-08
"700","Integrated Breast Cancer Pathway","WP",3.67809771874735e-06
"701","Base Excision Repair","WP",1.03934052262848e-05
"702","Gastric Cancer Network 2","WP",1.77188471127216e-05
"703","ATR Signaling","WP",0.00205389845190905
"704","Signaling Pathways in Glioblastoma","WP",0.00340446308817065
"705","miRNAs involved in DNA damage response","WP",0.00536938899500951
"706","Gastric Cancer Network 1","WP",0.0265201915036226
"707","Pathways Affected in Adenoid Cystic Carcinoma","WP",0.032564524116875
"708","Hepatitis C and Hepatocellular Carcinoma","WP",0.0470062953866598
